date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:44:31	106/106	---M-Z	200	added ('OK')	text/plain	date:Thu,%2020%20Jul%202023%2005:14:31%20GMT	https://ekosh.net/robots.txt		(from )
10:44:32	125681/125681	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202023%2005:14:31%20GMT	https://ekosh.net/	C:/My%20Web%20Sites/ekosh/ekosh.net/index.html	(from )
10:44:32	97517/97517	---M-Z	200	added ('OK')	text/css	etag:%2236423c4-17ced-5f80f06e2b055-gzip%22	https://ekosh.net/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2	C:/My%20Web%20Sites/ekosh/ekosh.net/wp-includes/css/dist/block-library/style.min3781.css	(from https://ekosh.net/)
10:44:32	38450/38450	---M-Z	200	added ('OK')	application/rss+xml	etag:%22bc94562893d1f7498c8b20a91a8e55ff-gzip%22	https://ekosh.net/feed/	C:/My%20Web%20Sites/ekosh/ekosh.net/feed/index.html	(from https://ekosh.net/)
10:44:32	291/291	---M-Z	200	added ('OK')	text/css	etag:%223620faf-123-5f80f06e29115-gzip%22	https://ekosh.net/wp-includes/css/classic-themes.min.css?ver=6.2.2	C:/My%20Web%20Sites/ekosh/ekosh.net/wp-includes/css/classic-themes.min3781.css	(from https://ekosh.net/)
10:44:32	4295/4295	---M-Z	200	added ('OK')	application/rss+xml	etag:%22bc94562893d1f7498c8b20a91a8e55ff-gzip%22	https://ekosh.net/comments/feed/	C:/My%20Web%20Sites/ekosh/ekosh.net/comments/feed/index.html	(from https://ekosh.net/)
10:44:32	2640/2640	---M-Z	200	added ('OK')	text/css	etag:%223521959-a50-5d74015ce0242-gzip%22	https://ekosh.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.2	C:/My%20Web%20Sites/ekosh/ekosh.net/wp-content/plugins/contact-form-7/includes/css/styles7661.css	(from https://ekosh.net/)
10:44:33	12229/12229	---M-Z	200	added ('OK')	text/css	etag:%2235c19fc-2fc5-5d74015cd3721-gzip%22	https://ekosh.net/wp-content/themes/engitech/css/bootstrap.css?ver=4.0	C:/My%20Web%20Sites/ekosh/ekosh.net/wp-content/themes/engitech/css/bootstrapf9b8.css	(from https://ekosh.net/)
10:44:33	57130/57130	---M-Z	200	added ('OK')	text/css	etag:%2235c1a00-df2a-5d74015cd3721-gzip%22	https://ekosh.net/wp-content/themes/engitech/css/font-awesome.min.css?ver=6.2.2	C:/My%20Web%20Sites/ekosh/ekosh.net/wp-content/themes/engitech/css/font-awesome.min3781.css	(from https://ekosh.net/)
10:44:33	3816/3816	---M-Z	200	added ('OK')	text/css	etag:%2235c19fd-ee8-5d74015cd3721-gzip%22	https://ekosh.net/wp-content/themes/engitech/css/flaticon.css?ver=6.2.2	C:/My%20Web%20Sites/ekosh/ekosh.net/wp-content/themes/engitech/css/flaticon3781.css	(from https://ekosh.net/)
